morphid	Spec	Co	Loc	Habitat	Date	Herbarium	drew	group	Ploidy	PetioleL	LfL	LfW	lf w higher lobe mm	lf w lower lobe mm	Lf widest	basalveinL	Lf margin	LfTNoAlan	LfTeeth	lfTLower	lfTUpper	secondaryVeins	PedicelL	Pedicel indumentum	Drupe mat	DrupeL	Calculate, don't measure:	Lf l:w ratio	Lf widest point	Pedicel:petiole l	Basal vein:lf l ratio
m086	MOKC01				2017	DAO	TRUE	s	2	15	115	55	25	30	28	39			42	22	20	7	22	glabrous		8					
m087	MOMA14				2017	DAO	TRUE	s	2	7	60	30	14	16	21	30			12	6	6	5	9	glabrous		6					
m088	MOGR21				2017	DAO	TRUE	s	3	6	na		na	na	na	na				na	na	na	14	sparse pilose		5					
m089	MOGR19				2017	DAO	TRUE	s		6	64	41	20	21	15	28			19	8	11	4	10			9					
m090	MOGR12				2017	DAO	TRUE	s		7	57	35	15	20	13	30			7	5	2	3	14			6					
m091	MOGR11				2017	DAO	TRUE	s		7	58	37	17	20	17	28			10	8	2	4	16			6					
m092	Dore24170	Lambton County, Ontario	Near Fort Franks	Fringing woods at back of Lake Huron Dunes	13 July 1968	DAO	FALSE	n	3	5	71	48	22	26	24	40			21	12	9	3	8	pilose/tomentose		7					
m093	Gaiser207	Lambton County, Ontario	Grand Bend		13 September 1938	DAO	FALSE	n	3	4	35	24	11	13	11	17				na	na	2	4	tomentose		8					
m094	Oldham7522	Lambton County, Ontario	S of Pinery Provincial Park	Edge of woods	1 July 1987	DAO	FALSE	n	3	na	na		na	na	na	na				na	na	na	5	tomentose		7.5					
m095	Catling 9 July 1991, Point Anne	Hastings County, Ontario	Point Anne	Open limestone alvar	9 July 1991	DAO	FALSE	n	3	4	51	32	16	16	12	26			28	14	14	5	9	glabrous		7					
m096	Catling9920	Hastings County, Ontario	Game Club	Prairie openings	16 August 1991	DAO	FALSE	n	3	7	58	45	23	22	20	27			28	12	16	4	6	pilose		7					
m097	Reznicek6219	Essex County, Ontario	Pelee Island	Savanna	9 October 1980	DAO	FALSE	n	3	5	50	36	18	18	13	24			25	9	16	4	5	tomentose		na					
m098	Catling9906	Hastings County, Ontario	New Overlook	Prairie opening	22 August 1991	DAO	FALSE	n	3	5	65	50	22	28	22	42			23	11	12	5	8	pilose		8					
m099	Aiken1869	Lambton County, Ontario	Port Franks	Forested sand dune	16 September 1981	DAO	FALSE	n	3	8	64	52	24	28	25	27			23	11	12	4	10	tomentose		8					
m100	Catling20281	Hastings County, Ontario	Lonsdale	Cracks in open alvar pavement	13 June 1994	DAO	FALSE	n	3	4	30	18	9	9	8	15			28	13	15	3	5	sparse pilose	stigmas present	6					
m101	Palmer 21376	Wilson Co. KS				NA	FALSE	s	3	9	60	36			11	37	a few scattered teeth	4+4	8				9	sparsely crisped-pubescent	v imm			1.6666666667	0.18333333333	1	0.61666666667
m102	Nighswonger 3308	Woods Co OK				NA	FALSE	s	3	3	44	34			17	25	entire	0	0				9	crisped-hispid	mat	8		1.2941176471	0.38636363636	3	0.56818181818
m103	Correll 10340	Claiborne Parish LA				NA	FALSE	s	3	4	48	35			19	28	entire	0	0				7	crisped-hispid	mat	8		1.3714285714	0.39583333333	1.75	0.58333333333
m104	Feely AL1 16 Sept 2008	Winston Co AL				NA	FALSE	s	3	6	61	42			20	30	a few scattered teeth	6+0	6				5	crisped-hispid	mat	8		1.4523809524	0.32786885246	0.83333333333	0.49180327869
m105	Whittemore 14-014	Greene Co AL				NA	FALSE	s	3	7	60	41			17	31	a few scattered teeth	8+5	13				8	crisped-hispid	v imm			1.4634146341	0.28333333333	1.1428571429	0.51666666667
m106	Jennings 29 Aug 1924	Barren Co KY				NA	FALSE	s	3	9	52	32			16	26	entire	0	0				10	sparsely crisped-pubescent	imm			1.625	0.30769230769	1.1111111111	0.5
m107	Kurz T-17	Leon Co FL				NA	FALSE	s	3	10	73	50			25	40	a few scattered teeth	9+0	9				9		mat	8		1.46	0.34246575342	0.9	0.54794520548
m108	Wharton 8560	Woodford Co KY	Mundy's Landing	Edge of woods on hillside	18472	NA	FALSE	s	3	8	69	33			16	40	entire	0	0				14	crisped-hispid	imm	6.5		2.0909090909	0.23188405797	1.75	0.57971014493
m109	Blanton 192	Escambia Co AL	Atmore	In high pineland	11139	NA	FALSE	s	3	10	67	40			21	25	one tooth	1+0	1				10	crisped-hispid	imm	7		1.675	0.31343283582	1	0.37313432836
m110	Whittemore 14-084	Jefferson Co TN				NA	FALSE	s	3	7	70	42			23	38	entire	0	0				9	crisped-hispid	imm			1.6666666667	0.32857142857	0	0.54285714286
m111	Whittemore 12-063	Hampshire Co WV				NA	FALSE	s	3	6	68	36			23	32	tiny fine sharp teeth	9+8	17				14	glabrous	imm			1.8888888889	0.33823529412	0	0.47058823529
m112	Whittemore 12-045	Jefferson Co TN				NA	FALSE	s	3	6	64	33			18	33	entire	0	0				9	densely crisped-hispid	imm			1.9393939394	0.28125	0	0.515625
m113	Correll 12384	Red River Co TX				NA	FALSE	s	3	4	49	39			19	26	entire	0	0				5	densely crisped-hispid	imm			1.2564102564	0.38775510204	0	0.5306122449
m114	Ashe s. n.	Lee Co TX	ix-1923			NA	FALSE	s	3	5	44	27			11	19	entire	0	0				7	densely crisped-hispid	fallen			1.6296296296	0.25	0	0.43181818182
m115	Ashe s. n.	Jasper Co TX	22-ix-1923			NA	FALSE	s	3	4	42	30			15	25	toothed		6				9	densely crisped-hispid	fallen			1.4	0.35714285714	0	0.59523809524
m116	Feely AL20 17 Sept 2008	Bibb Co AL				NA	FALSE	s	3	6	49	27			13	19	entire	0	0				8	crisped-hispid	8			1.8148148148	0.26530612245	0	0.38775510204
