channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
MSCS8 + Soy 2018-05-11 586.LMD,1123.74188251151,945.789638000755,82.4295708961944,170.834892403233,0.100944438040528,0.052183306067391,2.61697918549019,2.09461052765581,1.20627539457265,,
MSSM1 + Soy 2018-05-11 593.LMD,1081.98768200182,207.618843830237,86.5036955723346,166.103017087017,0.079803812828381,0.031093459071175,1.3077156565111,2.03576346517325,1.3019585238331,,
MSSM16 + Soy 2018-05-11 600.LMD,133.703519935123,1164.43476033006,83.4104984521887,163.589396986104,0.073836699461597,0.045304376864437,2.10579315970689,2.14462351190326,1.27469292003188,,
MSSM2 + Soy 2018-05-11 594.LMD,661.188564086775,963.335685676037,85.3588362216102,170.365716893588,0.134842637790891,0.051179156350544,1.1375094522227,2.01041765132423,1.25258235309933,,
MSSM4 + Soy 2018-05-11 595.LMD,529.750355439814,1338.40036929052,85.5431607877468,175.239322001325,0.086873615495137,0.055153545176698,1.02401881607264,2.04543417914371,1.22037622336698,,
MSSM5 + Soy 2018-05-11 596.LMD,709.223416933803,610.805133338724,84.5399053946731,169.822789657528,0.077894059964342,0.046224117126673,1.10930815889834,2.05995265323278,1.2445312193546,,
MSSM6 + Soy 2018-05-11 597.LMD,1651.98349504933,1263.61889495809,83.673561911593,162.681101237719,0.078461845237123,0.048706472449849,1.14249847488688,2.03105340387881,1.28585252489354,,
MSSM8 + Soy 2018-05-11 598.LMD,788.77852774956,912.388913427048,82.2474665174175,166.941480891086,0.124049857544949,0.047222606120325,1.15558526312458,2.06419457821297,1.23168109684909,,
MSSM9 + Soy 2018-05-11 599.LMD,1100.02287424745,534.588989668205,87.1825272704946,176.343457542807,0.064190662144925,0.034099984640242,1.30380899957819,NA,1.23597620922981,,
ALAC16 + Soy 2018-05-14 612.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALAC17 + Soy 2018-05-14 613.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALAC18 + Soy 2018-05-14 614.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALAC20 + Soy 2018-05-14 615.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALAC21 + Soy 2018-05-14 616.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MOKC1 + petunia 2017-09-11 553.LMD,1124.19859143036,2576.54878068815,60.1918374994248,159.116916062732,0.064498155831789,0.045357238405764,1.81391283491137,2.24606842370107,1.13486056018759,,
MOKC10 + petunia 2017-09-11 561.LMD,3198.75018903624,2666.97848222836,67.0570760890212,173.909348994079,0.055226511320724,0.040731699162836,2.2992677600887,2.34674208288252,1.15675913589852,,
MOKC11 + petunia 2017-09-11 562.LMD,1475.73742817972,2455.50455661165,62.6263240644263,166.834080866295,0.05876015235614,0.037993963885787,1.81518748367292,2.37183140359602,1.12614263954767,,
MOKC2 + petunia 2017-09-11 554.LMD,908.806817669131,3455.35770039232,55.7121216032878,149.24981282349,0.097876538901625,0.069242811989974,1.31376518683915,2.23396255367424,1.11984304467789,,
MOKC3 + petunia 2017-09-11 555.LMD,1118.73742993566,3142.18216352283,42.0360398483437,99.6854878430875,0.113030567186805,0.147070725438648,1.65467172195254,1.95824782379066,1.26505996282563,,
MOKC4 + petunia 2017-09-11 556.LMD,279.355703430828,1325.94106924801,53.9086346662536,132.77922335309,0.071325568517953,0.118781736608131,4.15999438015905,1.92672702908877,1.2180061000108,,
MOKC5 + petunia 2017-09-11 557.LMD,1630.41017225657,4016.40725172658,60.9357961629172,162.770896341054,0.051079208031814,0.041259550822535,5.06466720948426,NA,1.12309628194045,,
MOKC7 + petunia 2017-09-11 558.LMD,1965.42266388105,2042.90786684621,38.6457961805941,91.4239484306003,0.110455915891862,0.092421168309626,1.97305989628816,NA,1.26812930891724,,
MOKC8 + petunia 2017-09-11 559.LMD,1821.72828013663,3682.48364431713,53.9625612705315,147.090134820668,0.079958815536205,0.082177719763688,1.35806287283011,2.29938858672985,1.1006019133028,,
MOKC9 + petunia 2017-09-11 560.LMD,1500.3226887628,4973.77956355231,58.9859495318092,154.671900791062,0.087885573827645,0.070727312915994,1.49390335391235,2.10851556438961,1.14408530373252,,
MOKC5 2017-09-13 622.LMD,460.689144473998,0,67.3766159206285,139.013901647659,0.044982551267613,0.082663362604295,1.31204441460941,2.07596018740501,NA,NA,
MOKC5+petunia courtyard 2017-09-13 623.LMD,1408.68405168075,2170.02225023668,63.4263697211073,175.97345408656,0.049007052017425,0.029947750236501,1.74922309188886,2.5,1.08129439267428,,
MOKC5+petunia Tracey 2017-09-13 624.LMD,957.572636160639,962.343637390841,46.2024281224643,122.401463159673,0.055231998871562,0.046356944864063,1.23713022111579,2.06388830205912,1.13239891737715,,
MOKC7 2017-09-13 625.LMD,715.990819590791,204.125127972339,61.6086097351204,191.476033324923,0.049691970797389,0.224259557239895,1.57912868298872,2.02339404501154,NA,NA,
MOKC7+petunia courtyard 2017-09-13 626.LMD,527.288494037918,1792.99041884885,63.5472447130952,178.772357530677,0.045582033187321,0.027995399604926,2.23326534910945,1.60862218345134,1.06639380255737,,
MOKC7+petunia Tracey 2017-09-13 627.LMD,734.164259122977,788.197978844985,47.3288442142977,123.960536059335,0.064869379521928,0.048711272957303,1.54037389489716,2.5,1.14541722032348,,
MOKC3 + Soy 2017-09-26 731.LMD,1380.6913343593,1888.76590031962,62.6073848636957,133.146311541139,0.074735650499449,0.036863583163294,1.77078476996967,1.97479143692854,1.17553734945845,,
MSWD3 + Soy 2017-09-26 729.LMD,1309.96531794023,1316.21745358057,76.1865280849087,150.099549390376,0.068471803807378,0.030568332721012,1.23444029781732,NA,1.26893332448927,,
MSWD3 2017-09-26 728.LMD,739.489326231866,NA,69.2944886668404,NA,0.063193060243429,NA,1.84483229453716,1.99085980598662,NA,,
